Game_Id,Home_Or_Away,Win_Or_Loss,Home_Team_Stats,Away_Team_Stats
2014010029,home,loss,"{'teamSkaterStats': {'goals': 3, 'pim': 17, 'shots': 25, 'powerPlayPercentage': '12.5', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 8.0, 'faceOffWinPercentage': '44.1', 'blocked': 5, 'takeaways': 8, 'giveaways': 3, 'hits': 19}}","{'teamSkaterStats': {'goals': 3, 'pim': 21, 'shots': 31, 'powerPlayPercentage': '16.7', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 6.0, 'faceOffWinPercentage': '55.9', 'blocked': 14, 'takeaways': 2, 'giveaways': 2, 'hits': 17}}"
2014010051,away,win,"{'teamSkaterStats': {'goals': 1, 'pim': 8, 'shots': 20, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 1.0, 'faceOffWinPercentage': '73.1', 'blocked': 14, 'takeaways': 4, 'giveaways': 10, 'hits': 15}}","{'teamSkaterStats': {'goals': 1, 'pim': 2, 'shots': 24, 'powerPlayPercentage': '25.0', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 4.0, 'faceOffWinPercentage': '26.9', 'blocked': 12, 'takeaways': 10, 'giveaways': 6, 'hits': 21}}"
2014010065,away,win,"{'teamSkaterStats': {'goals': 5, 'pim': 2, 'shots': 28, 'powerPlayPercentage': '40.0', 'powerPlayGoals': 2.0, 'powerPlayOpportunities': 5.0, 'faceOffWinPercentage': '51.4', 'blocked': 4, 'takeaways': 9, 'giveaways': 12, 'hits': 20}}","{'teamSkaterStats': {'goals': 4, 'pim': 10, 'shots': 24, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 1.0, 'faceOffWinPercentage': '48.6', 'blocked': 10, 'takeaways': 8, 'giveaways': 10, 'hits': 22}}"
2014010088,home,loss,"{'teamSkaterStats': {'goals': 0, 'pim': 12, 'shots': 21, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 3.0, 'faceOffWinPercentage': '47.5', 'blocked': 10, 'takeaways': 4, 'giveaways': 6, 'hits': 25}}","{'teamSkaterStats': {'goals': 3, 'pim': 12, 'shots': 33, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 3.0, 'faceOffWinPercentage': '52.5', 'blocked': 12, 'takeaways': 1, 'giveaways': 0, 'hits': 27}}"
2014010100,away,win,"{'teamSkaterStats': {'goals': 4, 'pim': 8, 'shots': 28, 'powerPlayPercentage': '50.0', 'powerPlayGoals': 2.0, 'powerPlayOpportunities': 4.0, 'faceOffWinPercentage': '53.7', 'blocked': 13, 'takeaways': 10, 'giveaways': 9, 'hits': 18}}","{'teamSkaterStats': {'goals': 1, 'pim': 8, 'shots': 37, 'powerPlayPercentage': '25.0', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 4.0, 'faceOffWinPercentage': '46.3', 'blocked': 7, 'takeaways': 8, 'giveaways': 4, 'hits': 18}}"
2014020010,away,win,"{'teamSkaterStats': {'goals': 3, 'pim': 10, 'shots': 32, 'powerPlayPercentage': '42.9', 'powerPlayGoals': 3.0, 'powerPlayOpportunities': 7.0, 'faceOffWinPercentage': '53.7', 'blocked': 10, 'takeaways': 9, 'giveaways': 8, 'hits': 28}}","{'teamSkaterStats': {'goals': 2, 'pim': 20, 'shots': 21, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 2.0, 'faceOffWinPercentage': '46.3', 'blocked': 13, 'takeaways': 10, 'giveaways': 5, 'hits': 21}}"
2014020022,home,loss,"{'teamSkaterStats': {'goals': 1, 'pim': 17, 'shots': 29, 'powerPlayPercentage': '12.5', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 8.0, 'faceOffWinPercentage': '51.9', 'blocked': 5, 'takeaways': 4, 'giveaways': 3, 'hits': 27}}","{'teamSkaterStats': {'goals': 5, 'pim': 23, 'shots': 24, 'powerPlayPercentage': '40.0', 'powerPlayGoals': 2.0, 'powerPlayOpportunities': 5.0, 'faceOffWinPercentage': '48.1', 'blocked': 10, 'takeaways': 0, 'giveaways': 3, 'hits': 25}}"
2014020037,home,loss,"{'teamSkaterStats': {'goals': 0, 'pim': 12, 'shots': 30, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 3.0, 'faceOffWinPercentage': '47.1', 'blocked': 9, 'takeaways': 8, 'giveaways': 6, 'hits': 42}}","{'teamSkaterStats': {'goals': 1, 'pim': 8, 'shots': 23, 'powerPlayPercentage': '20.0', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 5.0, 'faceOffWinPercentage': '52.9', 'blocked': 13, 'takeaways': 11, 'giveaways': 4, 'hits': 35}}"
2014020056,away,win,"{'teamSkaterStats': {'goals': 0, 'pim': 12, 'shots': 26, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 5.0, 'faceOffWinPercentage': '47.4', 'blocked': 17, 'takeaways': 6, 'giveaways': 9, 'hits': 27}}","{'teamSkaterStats': {'goals': 1, 'pim': 12, 'shots': 35, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 5.0, 'faceOffWinPercentage': '52.6', 'blocked': 10, 'takeaways': 7, 'giveaways': 10, 'hits': 19}}"
2014020069,away,win,"{'teamSkaterStats': {'goals': 1, 'pim': 10, 'shots': 28, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 2.0, 'faceOffWinPercentage': '65.1', 'blocked': 14, 'takeaways': 4, 'giveaways': 12, 'hits': 31}}","{'teamSkaterStats': {'goals': 1, 'pim': 4, 'shots': 21, 'powerPlayPercentage': '20.0', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 5.0, 'faceOffWinPercentage': '34.9', 'blocked': 17, 'takeaways': 6, 'giveaways': 10, 'hits': 30}}"
